1.000	0.347	0.564	0.245	0.375	0.146	0.189	0.240	0.284	0.137	0.192	0.138
0.347	1.000	0.291	0.277	0.209	0.228	0.182	0.137	0.135	0.237	0.125	0.097
0.564	0.291	1.000	0.188	0.223	0.133	0.220	0.111	0.190	0.104	0.229	0.109
0.245	0.277	0.188	1.000	0.187	0.126	0.108	0.378	0.156	0.089	0.066	0.164
0.375	0.209	0.223	0.187	1.000	0.457	0.568	0.432	0.331	0.242	0.249	0.088
0.146	0.228	0.133	0.126	0.457	1.000	0.450	0.317	0.204	0.245	0.193	0.124
0.189	0.182	0.220	0.108	0.568	0.450	1.000	0.311	0.280	0.190	0.354	0.178
0.240	0.137	0.111	0.378	0.432	0.317	0.311	1.000	0.223	0.164	0.168	0.334
0.284	0.135	0.190	0.156	0.331	0.204	0.280	0.223	1.000	0.360	0.595	0.428
0.137	0.237	0.104	0.089	0.242	0.245	0.190	0.164	0.360	1.000	0.479	0.226
0.192	0.125	0.229	0.066	0.249	0.193	0.354	0.168	0.595	0.479	1.000	0.338
0.138	0.097	0.109	0.164	0.088	0.124	0.178	0.334	0.428	0.226	0.338	1.000
